#{"t_start": 1764660792.2446072, "env_id": "None"}
r,l,t
-233.0,256,59.347543
-219.0,256,59.347549
-245.0,256,59.347555
-214.0,256,59.347561
-208.0,256,59.347567
-243.0,256,59.347573
-243.0,256,88.404964
-249.0,256,88.455702
-234.0,256,88.455771
-221.0,256,88.591588
-239.0,256,88.591663
-221.0,256,88.708507
-228.0,256,88.708578
-242.0,256,88.765147
-1.9742786,14,88.854796
-243.0,256,88.967831
-0.98425096,9,89.109996
-224.0,256,90.195362
-239.0,256,90.329368
-242.0,256,90.653617
-228.0,256,91.192198
-245.0,256,91.242502
-229.0,256,91.24255
-91.30684,134,91.386002
0.99412334,4,91.38607
0.9802742,11,91.720008
-245.0,256,92.186645
-242.0,256,92.996814
-231.0,256,93.101024
-236.0,256,94.223525
-246.0,256,94.89281
-224.0,256,95.065547
-238.0,256,96.020368
-239.0,256,96.020437
-239.0,256,96.020457
-238.0,256,96.020472
-245.0,256,96.020484
-249.0,256,96.020497
-232.0,256,96.020509
-208.0,256,96.020522
-240.0,256,96.020535
-233.0,256,96.145755
-239.0,256,96.194422
-231.0,256,96.194473
-244.0,256,96.337718
-231.0,256,96.337776
-222.0,256,96.437764
-203.0,256,96.437823
-241.0,256,96.545338
0.97427857,14,96.545387
-224.0,256,96.64355
-234.0,256,96.778587
-74.78809,98,97.86906
-237.0,256,97.928597
-243.0,256,98.07278
-235.0,256,98.387661
-224.0,256,98.951291
-200.0,256,99.007
-224.0,256,99.152286
-247.0,256,99.491755
-233.0,256,99.928916
-0.98821175,7,100.158274
-69.829155,81,100.45939
-242.0,256,100.785359
-237.0,256,100.898696
-235.0,256,102.041117
-0.99608606,3,102.140973
-238.0,256,102.898371
-211.0,256,103.845665
-223.0,256,103.845734
-243.0,256,103.845754
-216.0,256,103.845768
-230.0,256,103.845782
-226.0,256,103.845795
-211.0,256,103.845807
-232.0,256,103.845819
-223.0,256,103.965441
-215.0,256,104.020527
-219.0,256,104.02058
-0.98623335,8,104.166693
-230.0,256,104.166761
-235.0,256,104.166781
-229.0,256,104.277215
-227.0,256,104.277267
-224.0,256,104.385031
-220.0,256,104.385082
-234.0,256,104.503005
-234.0,256,104.637451
-1.9802742,11,104.776342
0.98425096,9,105.073757
-231.0,256,105.771487
-226.0,256,105.935189
-225.0,256,106.256798
-1.9960861,3,106.361359
-220.0,256,106.856075
-220.0,256,106.909572
-224.0,256,107.04397
-242.0,256,107.364856
-231.0,256,108.016606
-225.0,256,108.336609
-229.0,256,108.661744
-238.0,256,108.75283
0.97827977,12,109.111514
-142.625,157,109.274838
-111.70156,131,109.863498
-152.4306,174,110.06433
-243.0,256,110.117809
-231.0,256,110.896943
-223.0,256,111.939927
-233.0,256,111.939981
-221.0,256,111.939992
-222.0,256,111.940001
-226.0,256,111.940009
-235.0,256,111.940016
-218.0,256,111.940023
-226.0,256,112.043651
-225.0,256,112.100661
-225.0,256,112.10074
-0.99804497,2,112.188218
-243.0,256,112.281135
-237.0,256,112.281221
-224.0,256,112.281243
-230.0,256,112.407712
-227.0,256,112.407782
0.97827977,12,112.568761
-244.0,256,112.61592
-0.98425096,9,112.718459
-0.96824586,17,112.870995
0.9762812,13,113.119563
-234.0,256,113.170971
-178.46352,202,113.315196
-215.27243,238,113.932007
-242.0,256,114.096707
-0.9722718,15,114.530604
-231.0,256,114.98502
-233.0,256,115.125819
-89.219376,101,115.431348
-229.0,256,115.490829
0.99412334,4,115.604113
-234.0,256,116.17021
-129.31535,137,116.404126
-241.0,256,116.518947
-212.0,256,116.851592
-221.0,256,117.262317
-226.0,256,117.429371
-251.0,256,117.966842
-239.0,256,118.1558
-245.0,256,118.193301
-51.140766,68,118.265714
-0.9802742,11,118.590503
-86.224396,103,118.743643
-200.0,256,118.995112
-226.0,256,119.958215
-230.0,256,119.95829
-241.0,256,119.958313
-228.0,256,119.95833
-219.0,256,119.958345
-221.0,256,119.958359
-213.0,256,120.070275
-244.0,256,120.240196
-221.0,256,120.240248
-233.0,256,120.343994
-239.0,256,120.532158
-227.0,256,120.583985
-245.0,256,120.836313
-0.017735397,10,120.892247
-240.0,256,121.102021
-243.0,256,121.153913
-227.0,256,121.292451
-234.0,256,121.867463
-232.0,256,122.400273
-232.0,256,122.826397
-235.0,256,122.962536
-230.0,256,123.305484
-241.0,256,124.153449
-229.0,256,124.272037
0.99608606,3,124.381714
-239.0,256,124.642111
-244.0,256,125.10628
-232.0,256,125.262081
-235.0,256,125.795884
-215.0,256,125.998287
-220.0,256,126.054446
-249.0,256,126.443135
-241.0,256,126.588804
0.96217525,20,126.655198
-202.60472,217,126.708114
-243.0,256,126.88593
-140.59293,167,127.585546
-226.0,256,127.932694
-225.0,256,127.932745
-202.0,256,127.932756
-224.0,256,127.932765
-214.0,256,127.932773
-226.0,256,128.041443
-228.0,256,128.215943
-236.0,256,128.216017
-244.0,256,128.323847
-235.0,256,128.523783
-245.0,256,128.775442
-233.0,256,128.830155
-228.0,256,129.06419
-232.0,256,129.114319
-232.0,256,129.244188
-176.60968,218,129.744257
-245.0,256,129.854328
-236.0,256,130.990777
-237.0,256,131.31558
-85.239655,109,131.661469
-238.0,256,132.159014
-237.0,256,132.361495
-0.99412334,4,132.506282
-227.0,256,132.654078
-232.0,256,133.106266
-242.0,256,133.272778
-168.47708,187,133.772061
-229.0,256,133.85619
-241.0,256,134.052225
-241.0,256,134.475189
-233.0,256,134.630844
-246.0,256,134.696279
-237.0,256,134.74306
-240.0,256,134.918746
0.98821175,7,134.977114
-0.9540211,24,135.532461
-218.0,256,135.671328
-244.0,256,136.002677
-224.0,256,136.002729
-235.0,256,136.00274
-234.0,256,136.002749
-236.0,256,136.115172
-0.99608606,3,136.228044
-235.0,256,136.310745
-222.0,256,136.310813
0.9702609,16,136.577581
-238.0,256,136.630459
-224.0,256,136.882896
-241.0,256,136.94055
-233.0,256,137.177837
-236.0,256,137.234311
-239.0,256,137.376017
-233.0,256,137.919473
-230.0,256,138.036605
-232.0,256,139.131406
-223.0,256,139.470044
-240.0,256,139.845778
-248.0,256,140.342859
-249.0,256,140.634877
-249.0,256,140.774062
-94.29566,130,140.909583
-222.0,256,141.252213
-229.0,256,141.408561
-242.0,256,141.845863
-232.0,256,141.924838
-237.0,256,142.115391
0.97427857,14,142.330411
-221.0,256,142.582337
-231.0,256,142.738285
-230.0,256,142.985221
-236.0,256,143.04086
-0.9901862,6,143.244558
-237.0,256,143.629796
-209.0,256,143.773062
-239.0,256,144.092574
-243.0,256,144.092627
-221.0,256,144.092638
-220.0,256,144.281931
-238.0,256,144.355266
-234.0,256,144.355316
-182.55806,207,144.411275
-225.0,256,144.643056
-222.0,256,144.692666
-223.0,256,144.979249
-224.0,256,145.222744
-221.0,256,145.275581
-231.0,256,145.412091
-224.0,256,145.891107
-232.0,256,147.034737
-70.80526,91,147.136184
-222.0,256,147.381973
-213.0,256,147.74562
-241.0,256,148.248471
-250.0,256,148.530267
-245.0,256,148.662142
-244.0,256,148.799109
-235.0,256,149.129179
-225.0,256,149.286813
-240.0,256,149.794153
-241.0,256,149.975041
-236.0,256,150.158727
-241.0,256,150.424843
-233.0,256,150.593327
-247.0,256,150.85352
-145.42378,172,151.008899
-221.0,256,151.077872
-243.0,256,151.43039
-226.0,256,151.581867
-234.0,256,151.916426
-215.0,256,151.916472
-239.0,256,151.916484
